0 11
0 0.000000 2.500000
1 1.000000 2.451057
2 2.000000 2.309017
3 3.000000 2.087785
4 4.000000 1.809017
5 5.000000 1.500000
6 6.000000 1.190983
7 7.000000 0.912215
8 8.000000 0.690983
9 9.000000 0.548943
10 10.000000 0.500000



1 11
0 0.000000 2.750674
1 1.000000 2.695779
2 2.000000 2.539450
3 3.000000 2.296472
4 4.000000 1.990595
5 5.000000 1.651528
6 6.000000 1.312142
7 7.000000 1.005493
8 8.000000 0.761812
9 9.000000 0.605321
10 10.000000 0.550872



2 11
0 0.000000 3.027749
1 1.000000 2.963208
2 2.000000 2.788746
3 3.000000 2.520778
4 4.000000 2.185825
5 5.000000 1.816295
6 6.000000 1.447272
7 7.000000 1.113469
8 8.000000 0.846805
9 9.000000 0.674216
10 10.000000 0.613264



3 11
0 0.000000 3.333829
1 1.000000 3.256644
2 2.000000 3.060341
3 3.000000 2.763867
4 4.000000 2.397144
5 5.000000 1.995690
6 6.000000 1.596669
7 7.000000 1.235636
8 8.000000 0.945139
9 9.000000 0.754800
10 10.000000 0.686650



4 11
0 0.000000 3.671721
1 1.000000 3.580736
2 2.000000 3.359827
3 3.000000 3.031365
4 4.000000 2.629289
5 5.000000 2.192766
6 6.000000 1.761130
7 7.000000 1.370388
8 8.000000 1.053456
9 9.000000 0.843204
10 10.000000 0.767449



5 11
0 0.000000 4.044580
1 1.000000 3.941135
2 2.000000 3.694361
3 3.000000 3.330677
4 4.000000 2.888589
5 5.000000 2.411618
6 6.000000 1.941679
7 7.000000 1.515473
8 8.000000 1.167168
9 9.000000 0.934145
10 10.000000 0.850218



6 11
0 0.000000 4.456053
1 1.000000 4.343782
2 2.000000 4.071481
3 3.000000 3.669655
4 4.000000 3.181688
5 5.000000 2.656309
6 6.000000 2.139090
7 7.000000 1.668753
8 8.000000 1.282668
9 9.000000 1.023839
10 10.000000 0.930689



7 11
0 0.000000 4.910357
1 1.000000 4.793932
2 2.000000 4.497421
3 3.000000 4.054737
4 4.000000 3.514088
5 5.000000 2.930289
6 6.000000 2.354463
7 7.000000 1.829907
8 8.000000 1.399552
9 9.000000 1.112229
10 10.000000 1.008401



8 11
0 0.000000 5.412311
1 1.000000 5.295324
2 2.000000 4.975487
3 3.000000 4.489091
4 4.000000 3.888918
5 5.000000 3.236528
6 6.000000 2.590730
7 7.000000 2.002311
8 8.000000 1.521752
9 9.000000 1.203316
10 10.000000 1.087001



9 11
0 0.000000 5.967328
1 1.000000 5.850049
2 2.000000 5.505547
3 3.000000 4.971818
4 4.000000 4.306263
5 5.000000 3.577477
6 6.000000 2.853206
7 7.000000 2.193476
8 8.000000 1.657232
9 9.000000 1.304216
10 10.000000 1.172847



10 11
0 0.000000 6.581335
1 1.000000 6.459444
2 2.000000 6.085421
3 3.000000 5.499209
4 4.000000 4.763587
5 5.000000 3.954281
6 6.000000 3.147856
7 7.000000 2.413095
8 8.000000 1.816474
9 9.000000 1.423980
10 10.000000 1.273661



