country,points,price
Italy,87,
Portugal,87,15.0
US,87,14.0
US,87,13.0
US,87,65.0
Spain,87,15.0
Italy,87,16.0
France,87,24.0
Germany,87,12.0
France,87,27.0
US,87,19.0
France,87,30.0
US,87,34.0
Italy,87,
US,87,12.0
Germany,87,24.0
Argentina,87,30.0
Argentina,87,13.0
Spain,87,28.0
US,87,32.0
US,87,23.0
US,87,20.0
Italy,87,19.0
US,87,22.0
Italy,87,35.0
US,87,69.0
Italy,87,13.0
Italy,87,10.0
Italy,87,17.0
US,86,16.0
France,86,
Italy,86,
Italy,86,
US,86,50.0
US,86,20.0
US,86,50.0
Chile,86,15.0
Italy,86,21.0
Italy,86,11.0
Italy,86,12.0
Italy,86,17.0
US,86,22.0
France,86,9.0
US,86,14.0
Chile,86,9.0
US,86,40.0
Italy,86,13.0
US,86,13.0
US,86,16.0
France,86,14.0
Italy,86,
Chile,85,22.0
Italy,85,14.0
France,85,15.0
Italy,85,
US,85,30.0
US,85,14.0
Italy,85,13.0
Chile,85,13.0
US,86,55.0
US,86,100.0
Italy,86,17.0
US,86,25.0
France,86,58.0
US,86,26.0
France,86,24.0
France,86,15.0
US,86,46.0
US,86,12.0
France,86,55.0
US,86,12.0
US,86,40.0
Italy,86,32.0
US,86,75.0
US,86,55.0
US,86,75.0
Germany,86,9.0
Australia,86,18.0
US,86,25.0
Portugal,86,
Chile,86,12.0
Spain,86,16.0
France,86,11.0
Australia,86,20.0
US,86,24.0
Germany,86,10.0
US,86,20.0
US,86,55.0
Italy,86,29.0
Italy,88,19.0
US,88,23.0
US,88,18.0
US,88,55.0
Austria,88,12.0
US,88,22.0
France,88,20.0
France,88,18.0
US,88,20.0
Italy,88,30.0
US,88,75.0
US,88,18.0
US,87,20.0
US,87,20.0
Chile,87,18.0
Italy,87,16.0
Italy,87,14.0
Italy,87,30.0
Italy,87,18.0
US,87,26.0
Italy,87,30.0
France,87,23.0
US,87,85.0
Italy,87,15.0
Italy,87,19.0
US,87,18.0
US,87,18.0
US,87,25.0
US,87,44.0
Italy,87,80.0
France,92,80.0
Italy,92,70.0
US,92,36.0
US,92,39.0
Australia,92,40.0
US,92,45.0
South Africa,91,45.0
France,91,48.0
France,91,13.0
France,91,17.0
South Africa,91,25.0
Italy,91,70.0
France,91,20.0
South Africa,91,30.0
Italy,91,68.0
US,91,78.0
Italy,91,60.0
France,91,50.0
South Africa,90,
France,90,10.0
France,90,112.0
Italy,90,26.0
Italy,90,45.0
US,90,17.0
France,90,84.0
US,91,85.0
US,91,64.0
US,91,68.0
US,91,68.0
Germany,91,16.0
US,91,35.0
US,91,25.0
Portugal,91,30.0
US,91,55.0
US,91,46.0
Spain,91,50.0
US,91,36.0
Germany,91,14.0
Portugal,91,26.0
Italy,91,38.0
Italy,91,
France,91,35.0
US,91,35.0
US,91,28.0
France,91,
Chile,91,29.0
Chile,91,32.0
France,91,25.0
US,91,28.0
US,91,95.0
US,91,44.0
Germany,91,30.0
Germany,91,22.0
Chile,91,20.0
US,91,38.0
New Zealand,88,19.0
Italy,88,25.0
Chile,88,50.0
Italy,88,22.0
US,88,25.0
France,88,27.0
US,88,23.0
US,88,36.0
Italy,88,
Argentina,88,12.0
US,88,35.0
Chile,88,15.0
US,88,40.0
Italy,88,48.0
Chile,88,11.0
Chile,87,11.0
Italy,87,26.0
Australia,87,30.0
Italy,87,20.0
France,87,35.0
Italy,87,
Italy,87,35.0
Italy,87,18.0
South Africa,90,23.0
US,90,60.0
US,90,28.0
Italy,90,
Italy,90,62.0
Israel,90,50.0
Portugal,90,28.0
US,90,30.0
US,90,25.0
US,90,25.0
US,90,32.0
South Africa,90,40.0
France,90,16.0
South Africa,90,20.0
France,90,32.0
Spain,90,40.0
US,90,48.0
US,90,36.0
Israel,90,80.0
Italy,90,57.0
Portugal,90,20.0
US,90,20.0
Hungary,90,36.0
US,90,40.0
Italy,90,40.0
Italy,90,
Italy,90,
Argentina,90,22.0
South Africa,90,25.0
South Africa,90,20.0
US,85,15.0
US,85,14.0
US,85,18.0
US,85,16.0
Argentina,85,10.0
Australia,85,12.0
US,85,28.0
Italy,85,10.0
US,85,49.0
US,85,85.0
Italy,85,18.0
Australia,85,29.0
US,85,36.0
France,85,9.0
US,85,34.0
US,85,15.0
US,85,30.0
Spain,85,13.0
Argentina,85,12.0
Australia,85,15.0
US,85,25.0
US,85,45.0
US,85,18.0
US,85,49.0
US,85,22.0
US,85,35.0
Argentina,85,15.0
US,89,45.0
US,89,55.0
South Africa,89,20.0
South Africa,89,18.0
South Africa,89,35.0
France,89,13.0
US,89,40.0
Argentina,89,37.0
US,89,39.0
US,89,60.0
South Africa,89,19.0
South Africa,89,40.0
Argentina,89,14.0
Italy,89,40.0
Italy,89,36.0
Austria,89,17.0
Italy,89,25.0
Greece,89,15.0
Italy,89,26.0
Argentina,89,19.0
Italy,89,13.0
Argentina,89,30.0
US,89,20.0
US,89,30.0
US,89,50.0
Italy,89,52.0
Austria,92,24.0
US,92,34.0
Italy,92,41.0
US,92,52.0
Argentina,92,215.0
Austria,92,
US,92,60.0
Spain,92,40.0
Austria,92,
US,92,125.0
France,92,
Italy,92,
France,92,45.0
Australia,92,70.0
Argentina,92,30.0
US,87,35.0
Chile,87,20.0
US,87,15.0
Chile,87,19.0
Italy,87,
US,87,28.0
US,87,14.0
Italy,87,
Italy,87,56.0
Italy,87,
US,87,24.0
Romania,87,7.0
France,87,30.0
Greece,87,18.0
Italy,87,20.0
Italy,87,18.0
New Zealand,87,18.0
US,87,40.0
Italy,87,
US,87,28.0
Italy,86,15.0
France,86,
France,86,
Chile,86,18.0
Italy,86,20.0
Italy,86,22.0
Italy,86,16.0
Italy,86,18.0
Chile,86,35.0
Italy,86,12.0
US,86,11.0
Italy,86,15.0
Chile,86,18.0
US,86,16.0
US,86,34.0
US,86,40.0
Chile,86,15.0
Italy,86,19.0
Italy,86,18.0
France,86,42.0
Italy,86,15.0
Chile,83,35.0
France,83,16.0
France,82,11.0
Spain,82,13.0
France,82,18.0
US,82,48.0
Spain,82,11.0
Chile,81,20.0
Chile,80,19.0
Australia,100,350.0
Australia,98,350.0
Germany,97,775.0
Australia,97,100.0
Australia,97,225.0
Italy,97,150.0
Hungary,96,320.0
US,96,68.0
France,96,630.0
Germany,96,365.0
US,96,68.0
Australia,95,85.0
France,95,350.0
Germany,95,66.0
France,95,110.0
Australia,95,125.0
Italy,95,60.0
US,95,200.0
France,95,380.0
US,95,48.0
Australia,95,60.0
Italy,88,21.0
Chile,88,10.0
Italy,88,11.0
Italy,88,21.0
US,88,160.0
Italy,88,23.0
Italy,88,10.0
Italy,88,15.0
US,88,19.0
Italy,88,40.0
Italy,88,18.0
Greece,88,
Mexico,88,18.0
Italy,88,15.0
Chile,88,12.0
Italy,88,11.0
Chile,88,15.0
Italy,88,9.0
Italy,88,30.0
US,88,18.0
US,88,34.0
US,88,17.0
US,88,25.0
Italy,88,15.0
Chile,88,12.0
Chile,88,14.0
US,87,12.0
Chile,87,11.0
Chile,87,12.0
Italy,87,
US,85,16.0
Chile,85,15.0
Chile,85,13.0
Italy,85,24.0
Italy,85,13.0
Italy,85,19.0
Chile,85,11.0
US,85,15.0
US,85,45.0
Italy,85,19.0
France,85,30.0
Chile,85,14.0
Italy,85,15.0
US,85,20.0
US,85,20.0
US,85,12.0
Italy,85,20.0
Italy,85,13.0
Italy,85,16.0
US,85,14.0
Italy,85,14.0
Italy,85,
Austria,85,
France,89,20.0
France,89,
US,89,30.0
US,89,20.0
Austria,89,23.0
US,89,30.0
US,89,18.0
Spain,89,18.0
US,89,35.0
Austria,89,17.0
US,89,42.0
US,89,30.0
US,89,24.0
US,89,16.0
US,89,27.0
Italy,89,89.0
Austria,89,
Italy,89,15.0
US,89,54.0
Spain,89,15.0
Spain,89,42.0
US,89,38.0
Austria,89,12.0
US,89,35.0
US,88,32.0
Austria,88,12.0
Italy,88,28.0
US,88,20.0
France,88,14.0
France,88,19.0
Italy,92,39.0
France,92,
Italy,92,35.0
France,92,
France,92,69.0
Canada,92,30.0
US,92,40.0
US,92,23.0
US,92,45.0
Italy,92,50.0
France,92,100.0
US,92,50.0
US,92,29.0
France,92,66.0
France,92,60.0
Germany,92,115.0
Italy,92,69.0
France,92,
US,92,65.0
Germany,92,42.0
Germany,92,27.0
France,92,70.0
France,92,73.0
France,92,72.0
Portugal,92,34.0
France,92,
US,92,130.0
US,92,88.0
France,92,65.0
France,92,
Italy,87,15.0
US,87,45.0
Italy,87,18.0
US,87,60.0
South Africa,87,12.0
South Africa,87,12.0
France,87,13.0
US,87,13.0
Italy,87,15.0
Italy,87,18.0
Italy,87,13.0
Spain,87,19.0
Austria,87,18.0
US,87,30.0
US,87,35.0
US,87,12.0
US,87,18.0
Spain,87,25.0
US,87,30.0
US,87,17.0
France,87,20.0
Spain,87,11.0
US,87,15.0
Austria,87,18.0
US,87,19.0
France,87,15.0
Spain,87,16.0
Italy,87,12.0
US,87,28.0
US,87,28.0
US,91,65.0
US,91,48.0
France,91,70.0
France,91,59.0
US,91,90.0
Chile,91,35.0
US,91,75.0
US,91,55.0
US,91,55.0
France,91,60.0
US,91,36.0
US,91,35.0
US,91,35.0
US,91,55.0
US,91,65.0
US,91,35.0
US,91,49.0
US,91,55.0
Germany,91,30.0
France,91,42.0
US,91,45.0
Chile,91,24.0
US,91,50.0
US,91,50.0
US,91,50.0
US,91,38.0
Germany,91,22.0
US,91,50.0
US,91,110.0
US,91,45.0
US,93,42.0
US,93,60.0
US,93,42.0
Italy,93,30.0
US,93,75.0
US,93,54.0
US,93,85.0
US,93,50.0
US,93,150.0
US,93,85.0
Italy,93,90.0
US,93,35.0
US,93,46.0
France,93,20.0
Argentina,93,42.0
France,93,40.0
US,93,75.0
Spain,93,88.0
US,93,40.0
US,93,25.0
US,93,48.0
US,93,45.0
US,93,50.0
US,93,65.0
US,93,48.0
US,93,62.0
US,93,100.0
US,93,53.0
Argentina,93,55.0
US,93,70.0
US,89,38.0
US,89,50.0
US,89,25.0
Italy,89,15.0
France,89,14.0
France,89,11.0
France,89,14.0
France,89,37.0
US,89,17.0
France,89,15.0
US,89,13.0
US,89,18.0
US,89,26.0
US,89,18.0
US,89,32.0
Austria,89,18.0
US,89,25.0
Austria,89,18.0
Austria,89,20.0
US,89,18.0
Austria,89,
US,89,17.0
Austria,89,13.0
US,89,41.0
Austria,89,16.0
France,89,20.0
US,89,30.0
Greece,89,13.0
Austria,89,24.0
US,89,36.0
US,87,20.0
Italy,87,19.0
Mexico,87,15.0
US,87,69.0
US,87,36.0
Spain,87,35.0
Argentina,87,30.0
US,87,25.0
US,87,25.0
Portugal,87,15.0
US,87,20.0
US,87,17.0
US,87,54.0
US,87,40.0
Portugal,87,12.0
Italy,87,19.0
Argentina,87,11.0
US,87,45.0
Italy,87,25.0
US,87,35.0
Italy,87,16.0
Italy,87,20.0
US,87,28.0
US,87,25.0
US,87,28.0
US,87,20.0
Italy,87,15.0
Italy,87,23.0
Italy,87,19.0
Australia,92,35.0
US,92,75.0
US,92,48.0
France,92,54.0
France,92,34.0
Australia,92,60.0
US,92,48.0
Spain,92,28.0
Australia,92,125.0
France,92,45.0
France,92,36.0
France,92,30.0
US,92,37.0
US,92,25.0
Portugal,92,30.0
US,92,60.0
US,92,40.0
US,92,50.0
Portugal,92,23.0
Portugal,92,80.0
Germany,92,34.0
US,92,75.0
Italy,92,24.0
France,92,39.0
Australia,92,21.0
US,92,35.0
France,92,43.0
US,92,30.0
US,92,70.0
South Africa,92,50.0
US,90,40.0
US,90,45.0
US,90,80.0
US,90,15.0
Italy,90,65.0
US,90,65.0
Italy,90,35.0
Italy,90,25.0
US,90,20.0
Spain,90,15.0
US,90,26.0
US,90,30.0
US,90,13.0
US,90,45.0
US,90,26.0
US,90,44.0
US,90,38.0
US,90,28.0
US,90,32.0
Italy,90,50.0
Italy,90,35.0
US,90,35.0
Spain,90,25.0
US,90,42.0
Italy,90,45.0
Italy,90,70.0
US,90,30.0
US,90,75.0
Italy,90,53.0
US,90,29.0
US,91,90.0
US,91,35.0
Austria,91,35.0
US,91,50.0
Italy,91,35.0
US,91,65.0
South Africa,91,50.0
Italy,91,43.0
New Zealand,91,28.0
Austria,91,
US,91,20.0
South Africa,91,40.0
