country,points,price,province
Italy,87,,Sicily & Sardinia
Portugal,87,15.0,Douro
US,87,14.0,Oregon
US,87,13.0,Michigan
US,87,65.0,Oregon
Spain,87,15.0,Northern Spain
Italy,87,16.0,Sicily & Sardinia
France,87,24.0,Alsace
Germany,87,12.0,Rheinhessen
France,87,27.0,Alsace
US,87,19.0,California
France,87,30.0,Alsace
US,87,34.0,California
Italy,87,,Sicily & Sardinia
US,87,12.0,California
Germany,87,24.0,Mosel
Argentina,87,30.0,Other
Argentina,87,13.0,Mendoza Province
Spain,87,28.0,Northern Spain
US,87,32.0,Virginia
US,87,23.0,Virginia
US,87,20.0,Oregon
Italy,87,19.0,Sicily & Sardinia
US,87,22.0,California
Italy,87,35.0,Sicily & Sardinia
US,87,69.0,California
Italy,87,13.0,Sicily & Sardinia
Italy,87,10.0,Sicily & Sardinia
Italy,87,17.0,Sicily & Sardinia
US,86,16.0,California
France,86,,Beaujolais
Italy,86,,Sicily & Sardinia
Italy,86,,Sicily & Sardinia
US,86,50.0,California
US,86,20.0,California
US,86,50.0,Oregon
Chile,86,15.0,Colchagua Valley
Italy,86,21.0,Sicily & Sardinia
Italy,86,11.0,Southern Italy
Italy,86,12.0,Sicily & Sardinia
Italy,86,17.0,Sicily & Sardinia
US,86,22.0,Oregon
France,86,9.0,Beaujolais
US,86,14.0,California
Chile,86,9.0,Maule Valley
US,86,40.0,Virginia
Italy,86,13.0,Sicily & Sardinia
US,86,13.0,California
US,86,16.0,Virginia
France,86,14.0,Beaujolais
Italy,86,,Sicily & Sardinia
Chile,85,22.0,Colchagua Valley
Italy,85,14.0,Sicily & Sardinia
France,85,15.0,Bordeaux
Italy,85,,Sicily & Sardinia
US,85,30.0,California
US,85,14.0,California
Italy,85,13.0,Sicily & Sardinia
Chile,85,13.0,Maipo Valley
US,86,55.0,Washington
US,86,100.0,California
Italy,86,17.0,Central Italy
US,86,25.0,Washington
France,86,58.0,Champagne
US,86,26.0,California
France,86,24.0,Burgundy
France,86,15.0,Burgundy
US,86,46.0,Washington
US,86,12.0,California
France,86,55.0,Champagne
US,86,12.0,Washington
US,86,40.0,California
Italy,86,32.0,Southern Italy
US,86,75.0,California
US,86,55.0,California
US,86,75.0,California
Germany,86,9.0,Rheinhessen
Australia,86,18.0,South Australia
US,86,25.0,Oregon
Portugal,86,,Tejo
Chile,86,12.0,Rapel Valley
Spain,86,16.0,Galicia
France,86,11.0,France Other
Australia,86,20.0,South Australia
US,86,24.0,California
Germany,86,10.0,Rheinhessen
US,86,20.0,Washington
US,86,55.0,California
Italy,86,29.0,Tuscany
Italy,88,19.0,Tuscany
US,88,23.0,California
US,88,18.0,California
US,88,55.0,California
Austria,88,12.0,Burgenland
US,88,22.0,Washington
France,88,20.0,Beaujolais
France,88,18.0,Beaujolais
US,88,20.0,New York
Italy,88,30.0,Tuscany
US,88,75.0,California
US,88,18.0,New York
US,87,20.0,New York
US,87,20.0,New York
Chile,87,18.0,Leyda Valley
Italy,87,16.0,Tuscany
Italy,87,14.0,Tuscany
Italy,87,30.0,Tuscany
Italy,87,18.0,Tuscany
US,87,26.0,California
Italy,87,30.0,Tuscany
France,87,23.0,Beaujolais
US,87,85.0,California
Italy,87,15.0,Tuscany
Italy,87,19.0,Tuscany
US,87,18.0,California
US,87,18.0,California
US,87,25.0,California
US,87,44.0,California
Italy,87,80.0,Tuscany
France,92,80.0,Alsace
Italy,92,70.0,Piedmont
US,92,36.0,California
US,92,39.0,California
Australia,92,40.0,South Australia
US,92,45.0,California
South Africa,91,45.0,Stellenbosch
France,91,48.0,Alsace
France,91,13.0,Alsace
France,91,17.0,Alsace
South Africa,91,25.0,Stellenbosch
Italy,91,70.0,Piedmont
France,91,20.0,Alsace
South Africa,91,30.0,Simonsberg-Stellenbosch
Italy,91,68.0,Piedmont
US,91,78.0,California
Italy,91,60.0,Piedmont
France,91,50.0,Bordeaux
South Africa,90,,Walker Bay
France,90,10.0,Alsace
France,90,112.0,Alsace
Italy,90,26.0,Piedmont
Italy,90,45.0,Piedmont
US,90,17.0,California
France,90,84.0,Alsace
US,91,85.0,California
US,91,64.0,California
US,91,68.0,California
US,91,68.0,California
Germany,91,16.0,Rheinhessen
US,91,35.0,California
US,91,25.0,California
Portugal,91,30.0,Alentejano
US,91,55.0,California
US,91,46.0,California
Spain,91,50.0,Central Spain
US,91,36.0,California
Germany,91,14.0,Mosel
Portugal,91,26.0,Alentejano
Italy,91,38.0,Tuscany
Italy,91,,Tuscany
France,91,35.0,Southwest France
US,91,35.0,California
US,91,28.0,California
France,91,,Beaujolais
Chile,91,29.0,Aconcagua Valley
Chile,91,32.0,Maipo Valley
France,91,25.0,Southwest France
US,91,28.0,California
US,91,95.0,California
US,91,44.0,California
Germany,91,30.0,Mosel
Germany,91,22.0,Mosel
Chile,91,20.0,Loncomilla Valley
US,91,38.0,Oregon
New Zealand,88,19.0,Marlborough
Italy,88,25.0,Northeastern Italy
Chile,88,50.0,Maipo Valley
Italy,88,22.0,Tuscany
US,88,25.0,California
France,88,27.0,Burgundy
US,88,23.0,California
US,88,36.0,California
Italy,88,,Tuscany
Argentina,88,12.0,Other
US,88,35.0,California
Chile,88,15.0,Colchagua Valley
US,88,40.0,California
Italy,88,48.0,Sicily & Sardinia
Chile,88,11.0,Colchagua Valley
Chile,87,11.0,Casablanca Valley
Italy,87,26.0,Southern Italy
Australia,87,30.0,South Australia
Italy,87,20.0,Veneto
France,87,35.0,Burgundy
Italy,87,,Tuscany
Italy,87,35.0,Tuscany
Italy,87,18.0,Tuscany
South Africa,90,23.0,Western Cape
US,90,60.0,California
US,90,28.0,California
Italy,90,,Tuscany
Italy,90,62.0,Northeastern Italy
Israel,90,50.0,Judean Hills
Portugal,90,28.0,Alentejo
US,90,30.0,California
US,90,25.0,California
US,90,25.0,California
US,90,32.0,California
South Africa,90,40.0,Coastal Region
France,90,16.0,Rhône Valley
South Africa,90,20.0,Western Cape
France,90,32.0,Rhône Valley
Spain,90,40.0,Northern Spain
US,90,48.0,California
US,90,36.0,California
Israel,90,80.0,Galilee
Italy,90,57.0,Tuscany
Portugal,90,20.0,Beira Atlantico
US,90,20.0,California
Hungary,90,36.0,Tokaj
US,90,40.0,California
Italy,90,40.0,Northeastern Italy
Italy,90,,Tuscany
Italy,90,,Northeastern Italy
Argentina,90,22.0,Mendoza Province
South Africa,90,25.0,Stellenbosch
South Africa,90,20.0,Stellenbosch
US,85,15.0,New York
US,85,14.0,New York
US,85,18.0,California
US,85,16.0,New York
Argentina,85,10.0,Mendoza Province
Australia,85,12.0,South Australia
US,85,28.0,Oregon
Italy,85,10.0,Central Italy
US,85,49.0,California
US,85,85.0,California
Italy,85,18.0,Central Italy
Australia,85,29.0,South Australia
US,85,36.0,California
France,85,9.0,Southwest France
US,85,34.0,California
US,85,15.0,California
US,85,30.0,New York
Spain,85,13.0,Northern Spain
Argentina,85,12.0,Other
Australia,85,15.0,South Australia
US,85,25.0,California
US,85,45.0,Oregon
US,85,18.0,Virginia
US,85,49.0,California
US,85,22.0,Oregon
US,85,35.0,California
Argentina,85,15.0,Mendoza Province
US,89,45.0,California
US,89,55.0,California
South Africa,89,20.0,Coastal Region
South Africa,89,18.0,Coastal Region
South Africa,89,35.0,Stellenbosch
France,89,13.0,Southwest France
US,89,40.0,Oregon
Argentina,89,37.0,Mendoza Province
US,89,39.0,California
US,89,60.0,California
South Africa,89,19.0,Stellenbosch
South Africa,89,40.0,Stellenbosch
Argentina,89,14.0,Mendoza Province
Italy,89,40.0,Central Italy
Italy,89,36.0,Veneto
Austria,89,17.0,Leithaberg
Italy,89,25.0,Northeastern Italy
Greece,89,15.0,Santorini
Italy,89,26.0,Northeastern Italy
Argentina,89,19.0,Mendoza Province
Italy,89,13.0,Piedmont
Argentina,89,30.0,Mendoza Province
US,89,20.0,California
US,89,30.0,California
US,89,50.0,Oregon
Italy,89,52.0,Northeastern Italy
Austria,92,24.0,Kremstal
US,92,34.0,California
Italy,92,41.0,Tuscany
US,92,52.0,Oregon
Argentina,92,215.0,Mendoza Province
Austria,92,,Kremstal
US,92,60.0,California
Spain,92,40.0,Catalonia
Austria,92,,Kremstal
US,92,125.0,California
France,92,,Bordeaux
Italy,92,,Central Italy
France,92,45.0,France Other
Australia,92,70.0,South Australia
Argentina,92,30.0,Mendoza Province
US,87,35.0,California
Chile,87,20.0,Maipo Valley
US,87,15.0,California
Chile,87,19.0,Aconcagua Valley
Italy,87,,Piedmont
US,87,28.0,California
US,87,14.0,Washington
Italy,87,,Piedmont
Italy,87,56.0,Piedmont
Italy,87,,Piedmont
US,87,24.0,California
Romania,87,7.0,Recas
France,87,30.0,Burgundy
Greece,87,18.0,Santorini
Italy,87,20.0,Piedmont
Italy,87,18.0,Piedmont
New Zealand,87,18.0,Hawke's Bay
US,87,40.0,California
Italy,87,,Piedmont
US,87,28.0,California
Italy,86,15.0,Veneto
France,86,,Bordeaux
France,86,,Bordeaux
Chile,86,18.0,Curicó Valley
Italy,86,20.0,Veneto
Italy,86,22.0,Veneto
Italy,86,16.0,Veneto
Italy,86,18.0,Veneto
Chile,86,35.0,Colchagua Valley
Italy,86,12.0,Veneto
US,86,11.0,New York
Italy,86,15.0,Veneto
Chile,86,18.0,Limarí Valley
US,86,16.0,California
US,86,34.0,California
US,86,40.0,California
Chile,86,15.0,Casablanca Valley
Italy,86,19.0,Veneto
Italy,86,18.0,Veneto
France,86,42.0,Champagne
Italy,86,15.0,Veneto
Chile,83,35.0,Colchagua Costa
France,83,16.0,Languedoc-Roussillon
France,82,11.0,Provence
Spain,82,13.0,Catalonia
France,82,18.0,Alsace
US,82,48.0,California
Spain,82,11.0,Catalonia
Chile,81,20.0,Rapel Valley
Chile,80,19.0,Leyda Valley
Australia,100,350.0,Victoria
Australia,98,350.0,Victoria
Germany,97,775.0,Rheingau
Australia,97,100.0,Victoria
Australia,97,225.0,South Australia
Italy,97,150.0,Piedmont
Hungary,96,320.0,Tokaji
US,96,68.0,California
France,96,630.0,Burgundy
Germany,96,365.0,Rheingau
US,96,68.0,California
Australia,95,85.0,Victoria
France,95,350.0,Burgundy
Germany,95,66.0,Rheingau
France,95,110.0,Burgundy
Australia,95,125.0,South Australia
Italy,95,60.0,Piedmont
US,95,200.0,California
France,95,380.0,Burgundy
US,95,48.0,Oregon
Australia,95,60.0,South Australia
Italy,88,21.0,Northeastern Italy
Chile,88,10.0,Maipo Valley
Italy,88,11.0,Veneto
Italy,88,21.0,Northeastern Italy
US,88,160.0,California
Italy,88,23.0,Northeastern Italy
Italy,88,10.0,Veneto
Italy,88,15.0,Northeastern Italy
US,88,19.0,California
Italy,88,40.0,Tuscany
Italy,88,18.0,Northeastern Italy
Greece,88,,Naoussa
Mexico,88,18.0,Valle de Guadalupe
Italy,88,15.0,Northeastern Italy
Chile,88,12.0,Rapel Valley
Italy,88,11.0,Veneto
Chile,88,15.0,Maipo Valley
Italy,88,9.0,Veneto
Italy,88,30.0,Northeastern Italy
US,88,18.0,California
US,88,34.0,California
US,88,17.0,California
US,88,25.0,California
Italy,88,15.0,Northeastern Italy
